程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态
3	             cw2000degree	OK	                         	1990-01-01:01:19:31	2363	站点1	1	PF4000	3	1	0.13	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:01:19:42	2364	站点1	1	PF4000	3	2	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:01:31:31	2365	站点1	1	PF4000	3	1	0.13	OK	610	LOW
3	             cw2000degree	NG	                         	1990-01-01:01:31:50	2366	站点1	1	PF4000	3	1	0.12	OK	1608	LOW
3	             cw2000degree	OK	                         	1990-01-01:01:32:04	2367	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:01:32:07	2368	站点1	1	PF4000	3	2	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:01:32:58	2369	站点1	1	PF4000	3	1	0.13	OK	1152	LOW
3	             cw2000degree	OK	                         	1990-01-01:01:33:04	2370	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:01:33:05	2371	站点1	1	PF4000	3	2	0.13	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:02:55:40	2372	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:02:55:41	2373	站点1	1	PF4000	3	2	0.09	OK	239	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:55:47	2374	站点1	1	PF4000	3	2	0.1	OK	325	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:55:51	2376	站点1	1	PF4000	3	2	0.06	OK	91	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:29	2377	站点1	1	PF4000	3	1	0.11	OK	450	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:34	2378	站点1	1	PF4000	3	1	0.1	OK	445	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:38	2379	站点1	1	PF4000	3	1	0.11	OK	617	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:51	2380	站点1	1	PF4000	3	1	0.12	OK	809	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:55	2381	站点1	1	PF4000	3	1	0.05	OK	84	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:58:59	2382	站点1	1	PF4000	3	1	0.11	OK	795	LOW
3	             cw2000degree	OK	                         	1990-01-01:03:21:32	2383	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:03:21:34	2384	站点1	1	PF4000	3	2	0.13	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:11:29	2385	站点1	1	PF4000	6	1	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:11:32	2386	站点1	1	PF4000	6	2	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:11:59	2387	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:05:12:01	2388	站点1	1	PF4000	3	2	0.12	OK	1028	LOW
3	             cw2000degree	OK	                         	1990-01-01:05:12:07	2389	站点1	1	PF4000	3	2	0.12	OK	1999	OK
4	                         	NG	                         	1990-01-01:05:12:16	2390	站点1	1	PF4000	3	3	0.09	OK	422	LOW
4	                         	OK	                         	1990-01-01:05:12:32	2391	站点1	1	PF4000	3	3	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:12:37	2392	站点1	1	PF4000	3	4	0.12	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:13:39	2393	站点1	1	PF4000	7	1	0.13	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:21:50	2394	站点1	1	PF4000	3	1	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:32:16	2395	站点1	1	PF4000	3	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:05:32:22	2396	站点1	1	PF4000	3	3	0.12	OK	1019	LOW
4	                         	OK	                         	1990-01-01:05:32:28	2397	站点1	1	PF4000	3	3	0.12	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:32:30	2398	站点1	1	PF4000	3	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:05:43:47	2399	站点1	1	PF4000	6	1	0.02	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:05:43:52	2400	站点1	1	PF4000	6	1	0.11	OK	630	LOW
3	             cw2000degree	NG	                         	1990-01-01:05:43:57	2401	站点1	1	PF4000	6	1	0.07	OK	154	LOW
4	                         	OK	                         	1990-01-01:05:44:38	2402	站点1	1	PF4000	5	1	0.12	OK	1996	OK
3	             cw2000degree	OK	                         	1990-01-01:05:44:40	2403	站点1	1	PF4000	5	2	0.12	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:44:43	2404	站点1	1	PF4000	5	3	0.12	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:44:45	2405	站点1	1	PF4000	5	4	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:44:46	2406	站点1	1	PF4000	5	5	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:44:48	2407	站点1	1	PF4000	5	6	0.12	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:44:50	2408	站点1	1	PF4000	5	7	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:44:52	2409	站点1	1	PF4000	5	8	0.12	OK	1999	OK
4	                         	OK	                         	1990-01-01:05:44:56	2410	站点1	1	PF4000	5	9	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:44:58	2411	站点1	1	PF4000	5	10	0.12	OK	1999	OK
4	                         	NG	                         	1990-01-01:05:45:00	2412	站点1	1	PF4000	5	11	0.02	OK	0	LOW
4	                         	OK	                         	1990-01-01:05:45:08	2413	站点1	1	PF4000	5	11	0.12	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:45:10	2414	站点1	1	PF4000	5	12	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:05:45:29	2415	站点1	1	PF4000	6	1	0.02	OK	0	LOW
3	             cw2000degree	OK	                         	1990-01-01:05:45:34	2416	站点1	1	PF4000	6	1	0.12	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:45:36	2417	站点1	1	PF4000	6	2	0.12	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:05:52:14	2418	站点1	1	PF4000	6	1	0.12	OK	1999	OK
5	                       33	OK	                         	1990-01-01:05:52:17	2419	站点1	1	PF4000	6	2	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:06:36:19	2420	王大山	2	PF4000	9	1	0.12	OK	976	LOW
3	             cw2000degree	OK	                         	1990-01-01:06:37:56	2421	王大山	2	PF4000	9	1	0.12	OK	1904	OK
4	                         	NG	                         	1990-01-01:06:38:19	2422	王大山	2	PF4000	9	2	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:06:38:41	2423	王大山	2	PF4000	9	2	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:00:35:09	2424	判断	3	PF4000	10	1	0.14	OK	1809	OK	操作员1	2024-03-22 21:03:39
3	             cw2000degree	OK	                         	1990-01-01:00:35:18	2425	判断	3	PF4000	10	1	0.13	OK	1999	OK	操作员1	2024-03-22 21:03:48
6	                       55	OK	                         	1990-01-01:00:35:19	2426	判断	3	PF4000	10	2	0.13	OK	1999	OK	操作员1	2024-03-22 21:03:49
3	             cw2000degree	OK	                         	1990-01-01:00:37:31	2427	判断	3	PF4000	10	1	0.13	OK	1999	OK	管理员1	2024-03-22 21:06:01
6	                       55	NG	                         	1990-01-01:00:37:53	2428	判断	3	PF4000	10	2	0.12	OK	1244	LOW	管理员1	2024-03-22 21:06:23
6	                       55	OK	                         	1990-01-01:00:38:18	2429	判断	3	PF4000	10	2	0.13	OK	1999	OK	管理员1	2024-03-22 21:06:48
