程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态
5	                       33	OK	                         	1990-01-01:00:32:49	2213	站点1	-1	PF4000	108	2	0.14	OK	1995	OK
4	                         	OK	                         	1990-01-01:00:32:50	2214	站点1	-1	PF4000	108	3	0.13	OK	1939	OK
3	             cw2000degree	NG	                         	1990-01-01:00:33:34	2215	站点1	-1	PF4000	108	1	0.07	OK	104	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:33:35	2216	站点1	-1	PF4000	108	1	0.12	OK	731	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:33:45	2217	站点1	-1	PF4000	108	1	0.13	OK	1906	OK
3	             cw2000degree	OK	                         	1990-01-01:00:36:00	2218	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:00:36:03	2219	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:00:36:08	2220	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:00:36:11	2221	站点1	-1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:01:03:21	2222	站点1	-1	PF4000	108	1	0.11	OK	603	LOW
3	             cw2000degree	OK	                         	1990-01-01:01:03:23	2223	站点1	-1	PF4000	108	1	0.13	OK	1937	OK
3	             cw2000degree	NG	                         	1990-01-01:01:05:11	2224	站点1	-1	PF4000	108	1	0.02	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:01:06:38	2225	站点1	-1	PF4000	108	1	0.08	OK	141	LOW
3	             cw2000degree	OK	                         	1990-01-01:01:06:45	2226	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:01:07:41	2227	站点1	-1	PF4000	108	1	0.07	OK	134	LOW
3	             cw2000degree	NG	                         	1990-01-01:01:10:51	2229	站点1	-1	PF4000	108	1	0.1	OK	334	LOW
3	             cw2000degree	OK	                         	1990-01-01:01:11:32	2230	站点1	-1	PF4000	108	1	0.12	OK	1914	OK
3	             cw2000degree	NG	                         	1990-01-01:01:24:05	2232	站点1	-1	PF4000	108	1	0.12	OK	489	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:13:39	2233	站点1	-1	PF4000	108	1	0.06	OK	74	LOW
3	             cw2000degree	OK	                         	1990-01-01:02:13:48	2234	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
3	             cw2000degree	OK	                         	1990-01-01:02:16:23	2235	站点1	-1	PF4000	108	1	0.14	OK	1999	OK
5	                       33	OK	                         	1990-01-01:02:16:27	2236	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:02:16:32	2237	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:02:16:35	2238	站点1	-1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:02:38:12	2239	站点1	-1	PF4000	108	1	0.14	OK	1207	LOW
3	             cw2000degree	NG	                         	1990-01-01:02:38:22	2240	站点1	-1	PF4000	108	1	0.13	OK	1946	OK
5	                       33	NG	                         	1990-01-01:02:38:34	2241	站点1	-1	PF4000	108	2	0.14	OK	1999	OK
4	                         	NG	                         	1990-01-01:02:38:37	2242	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:02:38:45	2243	站点1	-1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:02:48:10	2244	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:00:26	2246	站点1	-1	PF4000	108	1	0.1	OK	366	LOW
3	             cw2000degree	NG	                         	1990-01-01:03:00:43	2247	站点1	-1	PF4000	108	1	0.14	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:01:05	2248	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:01:17	2249	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:01:27	2250	站点1	-1	PF4000	108	4	0.14	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:03:47	2251	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:03:49	2252	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:03:52	2253	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:03:54	2254	站点1	-1	PF4000	108	4	0.13	OK	1978	OK
3	             cw2000degree	NG	                         	1990-01-01:03:03:57	2255	站点1	-1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:03:59	2256	站点1	-1	PF4000	108	6	0.05	OK	9	LOW
6	                       55	NG	                         	1990-01-01:03:04:08	2257	站点1	-1	PF4000	108	6	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:04:13	2258	站点1	-1	PF4000	108	7	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:04:32	2259	站点1	-1	PF4000	108	8	0.14	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:05:22	2260	站点1	-1	PF4000	108	9	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:05:24	2261	站点1	-1	PF4000	108	10	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:07:45	2262	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:07:52	2264	站点1	-1	PF4000	108	3	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:07:54	2265	站点1	-1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:07:58	2266	站点1	-1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:08:00	2267	站点1	-1	PF4000	108	6	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:08:03	2268	站点1	-1	PF4000	108	7	0.14	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:08:05	2269	站点1	-1	PF4000	108	8	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:08:09	2270	站点1	-1	PF4000	108	9	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:12:47	2273	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:14:04	2274	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
