程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态
3	             cw2000degree	NG	                         	1990-01-01:00:05:28	2162	站点1	-1	PF4000	108	1	0.12	OK	993	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:11:51	2163	站点1	-1	PF4000	108	1	0.1	OK	323	LOW
3	             cw2000degree	OK	                         	1990-01-01:00:12:54	2164	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:00:13:02	2165	站点1	-1	PF4000	108	2	0.04	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:17:42	2166	站点1	-1	PF4000	108	1	0.1	OK	231	LOW
3	             cw2000degree	OK	                         	1990-01-01:00:17:46	2167	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:00:17:50	2168	站点1	-1	PF4000	108	2	0.04	OK	21	LOW
5	                       33	NG	                         	1990-01-01:00:17:51	2169	站点1	-1	PF4000	108	2	0.03	OK	0	LOW
5	                       33	NG	                         	1990-01-01:00:17:52	2170	站点1	-1	PF4000	108	2	0.03	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:19:34	2184	站点1	-1	PF4000	108	1	0.13	OK	1158	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:19:42	2186	站点1	-1	PF4000	108	1	0.03	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:20:41	2187	站点1	-1	PF4000	108	1	0.09	OK	147	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:20:43	2188	站点1	-1	PF4000	108	1	0.03	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:20:44	2189	站点1	-1	PF4000	108	1	0.04	OK	0	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:22:20	2193	站点1	-1	PF4000	108	1	0.1	OK	236	LOW
3	             cw2000degree	OK	                         	1990-01-01:00:22:23	2194	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:00:22:46	2195	站点1	-1	PF4000	108	2	0.03	OK	0	LOW
5	                       33	OK	                         	1990-01-01:00:22:48	2196	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	OK	                         	1990-01-01:00:22:49	2197	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	OK	                         	1990-01-01:00:22:50	2198	站点1	-1	PF4000	108	4	0.13	OK	1980	OK
3	             cw2000degree	OK	                         	1990-01-01:00:25:02	2204	站点1	-1	PF4000	108	1	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:00:25:04	2205	站点1	-1	PF4000	108	2	0.12	OK	650	LOW
5	                       33	OK	                         	1990-01-01:00:25:11	2206	站点1	-1	PF4000	108	2	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:00:25:18	2207	站点1	-1	PF4000	108	3	0.04	OK	17	LOW
4	                         	OK	                         	1990-01-01:00:25:30	2208	站点1	-1	PF4000	108	3	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:00:32:30	2209	站点1	-1	PF4000	108	1	0.11	OK	467	LOW
3	             cw2000degree	NG	                         	1990-01-01:00:32:36	2210	站点1	-1	PF4000	108	1	0.07	OK	141	LOW
3	             cw2000degree	OK	                         	1990-01-01:00:32:42	2211	站点1	-1	PF4000	108	1	0.13	OK	1812	OK
3	             cw2000degree	NG	                         	1990-01-01:00:32:43	2212	站点1	-1	PF4000	108	2	0.03	OK	0	LOW
