程序号	程序名称	最终状态	条码	拧紧时间戳记	数据包戳记	站点名称	站点ID	工具类型	产品面号	点位号	最终扭力	最终扭力状态	最终角度	最终角度状态
5	                       33	NG	                         	1990-01-01:03:57:49	2331	站点1	1	PF4000	108	4	0.12	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:57:52	2332	站点1	1	PF4000	108	5	0.13	OK	1999	OK
6	                       55	NG	                         	1990-01-01:03:57:54	2333	站点1	1	PF4000	108	6	0.14	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:58:02	2334	站点1	1	PF4000	108	2	0.14	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:58:08	2335	站点1	1	PF4000	108	3	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:58:47	2336	站点1	1	PF4000	108	1	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:58:57	2338	站点1	1	PF4000	108	3	0.03	OK	0	LOW
4	                         	NG	                         	1990-01-01:03:59:04	2339	站点1	1	PF4000	108	3	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:59:06	2340	站点1	1	PF4000	108	4	0.13	OK	1999	OK
3	             cw2000degree	NG	                         	1990-01-01:03:59:09	2341	站点1	1	PF4000	108	5	0.12	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:59:18	2342	站点1	1	PF4000	108	2	0.13	OK	2005	OK
6	                       55	NG	                         	1990-01-01:03:59:22	2343	站点1	1	PF4000	108	6	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:59:27	2344	站点1	1	PF4000	108	7	0.14	OK	2006	OK
4	                         	NG	                         	1990-01-01:03:59:31	2345	站点1	1	PF4000	108	8	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:59:37	2346	站点1	1	PF4000	108	8	0.13	OK	1999	OK
5	                       33	NG	                         	1990-01-01:03:59:40	2347	站点1	1	PF4000	108	9	0.13	OK	1999	OK
4	                         	NG	                         	1990-01-01:03:59:42	2348	站点1	1	PF4000	108	10	0.13	OK	1999	OK
